        79,          3900,  -41048,   99493,  -58448,    1946,   94055,  -85431,  -69638,   98698,   99994,   97922,   74456,   97753,   97922,   74456,   97753,  -69638,   71280,   99994,   97967,   20541,   99928
        80,          3950,  -42760,   99664,  -56909,     137,   94654,  -84460,  -68506,   97972,   99972,   97971,   75135,   97026,   97971,   75135,   97026,  -68506,   71992,   99972,   98015,   21010,   99905
        81,          4000,  -44456,   99800,  -55349,   -1676,   95225,  -83460,  -67371,   97116,   99935,   98018,   75795,   96194,   98018,   75795,   96194,  -67371,   72686,   99935,   98062,   21466,   99879
        82,          4050,  -46136,   99901,  -53769,   -3493,   95768,  -82433,  -66232,   96143,   99885,   98064,   76438,   95280,   98064,   76438,   95280,  -66232,   73363,   99885,   98108,   21911,   99850
        83,          4100,  -47800,   99967,  -52170,   -5312,   96282,  -81379,  -65089,   95064,   99823,   98109,   77065,   94282,   98109,   77065,   94282,  -65089,   74024,   99823,   98153,   22343,   99819
        84,          4150,  -49447,   99996,  -50553,   -7133,   96766,  -80297,  -63944,   93891,   99750,   98153,   77674,   93201,   98153,   77674,   93201,  -63944,   74668,   99750,   98197,   22764,   99785
        85,          4200,  -51077,   99991,  -48918,   -8955,   97219,  -79189,  -62798,   92633,   99666,   98196,   78268,   92058,   98196,   78268,   92058,  -62798,   75296,   99666,   98241,   23174,   99749
        86,          4250,  -52688,   99949,  -47265,  -10776,   97641,  -78054,  -61650,   91298,   99573,   98239,   78845,   90831,   98239,   78845,   90831,  -61650,   75909,   99573,   98283,   23573,   99711
        87,          4300,  -54281,   99873,  -45596,  -12595,   98031,  -76892,  -60502,   89896,   99472,   98280,   79408,   89542,   98280,   79408,   89542,  -60502,   76506,   99472,   98325,   23962,   99670
        88,          4350,  -55854,   99760,  -43910,  -14412,   98388,  -75704,  -59355,   88433,   99363,   98321,   79955,   88191,   98321,   79955,   88191,  -59355,   77089,   99363,   98365,   24340,   99628
        89,          4400,  -57408,   99613,  -42209,  -16225,   98711,  -74490,  -58208,   86916,   99248,   98361,   80488,   86778,   98361,   80488,   86778,  -58208,   77657,   99248,   98405,   24709,   99583
        90,          4450,  -58941,   99430,  -40493,  -18032,   99000,  -73251,  -57062,   85352,   99126,   98400,   81007,   85322,   98400,   81007,   85322,  -57062,   78212,   99126,   98444,   25067,   99538
        91,          4500,  -60453,   99211,  -38762,  -19834,   99253,  -71986,  -55918,   83746,   98998,   98438,   81512,   83805,   98438,   81512,   83805,  -55918,   78752,   98998,   98483,   25416,   99490
        92,          4550,  -61944,   98958,  -37018,  -21628,   99471,  -70695,  -54777,   82104,   98865,   98476,   82003,   82225,   98476,   82003,   82225,  -54777,   79279,   98865,   98520,   25756,   99440
        93,          4600,  -63412,   98669,  -35260,  -23415,   99651,  -69380,  -53638,   80430,   98727,   98513,   82482,   80624,   98513,   82482,   80624,  -53638,   79794,   98727,   98557,   26086,   99390
        94,          4650,  -64858,   98345,  -33490,  -25192,   99795,  -68040,  -52504,   78729,   98585,   98549,   82948,   78961,   98549,   82948,   78961,  -52504,   80295,   98585,   98593,   26408,   99338
        95,          4700,  -66282,   97986,  -31708,  -26960,   99901,  -66675,  -51373,   77005,   98439,   98585,   83401,   77257,   98585,   83401,   77257,  -51373,   80785,   98439,   98629,   26721,   99284
        96,          4750,  -67681,   97592,  -29915,  -28717,   99969,  -65287,  -50247,   75262,   98289,   98620,   83842,   75511,   98620,   83842,   75511,  -50247,   81262,   98289,   98664,   27026,   99229
        97,          4800,  -69057,   97164,  -28111,  -30462,   99998,  -63874,  -49126,   73504,   98135,   98654,   84272,   73723,   98654,   84272,   73723,  -49126,   81727,   98135,   98698,   27323,   99173
        98,          4850,  -70408,   96701,  -26297,  -32195,   99989,  -62439,  -48011,   71733,   97979,   98688,   84690,   71914,   98688,   84690,   71914,  -48011,   82181,   97979,   98732,   27612,   99117
        99,          4900,  -71734,   96204,  -24474,  -33914,   99942,  -60980,  -46902,   69952,   97819,   98721,   85097,   70043,   98721,   85097,   70043,  -46902,   82623,   97819,   98765,   27893,   99058
       100,          4950,  -73034,   95673,  -22642,  -35621,   99855,  -59500,  -45799,   68165,   97658,   98753,   85493,   68152,   98753,   85493,   68152,  -45799,   83055,   97658,   98798,   28167,   98998
       101,          5000,  -74309,   95108,  -20803,  -37313,   99729,  -57997,  -44704,   66374,   97493,   98785,   85878,   66219,   98785,   85878,   66219,  -44704,   83476,   97493,   98830,   28433,   98938
       102,          5050,  -75557,   94509,  -18955,  -38990,   99565,  -56472,  -43617,   64580,   97327,   98817,   86253,   64244,   98817,   86253,   64244,  -43617,   83887,   97327,   98861,   28692,   98876
       103,          5100,  -76778,   93876,  -17101,  -40653,   99362,  -54927,  -42537,   62787,   97159,   98848,   86618,   62248,   98848,   86618,   62248,  -42537,   84287,   97159,   98892,   28944,   98813
       104,          5150,  -77972,   93210,  -15241,  -42299,   99120,  -53361,  -41466,   60996,   96989,   98878,   86974,   60211,   98878,   86974,   60211,  -41466,   84678,   96989,   98923,   29190,   98749
       105,          5200,  -79138,   92511,  -13376,  -43930,   98841,  -51776,  -40404,   59209,   96818,   98908,   87320,   58132,   98908,   87320,   58132,  -40404,   85059,   96818,   98952,   29429,   98684
       106,          5250,  -80276,   91779,  -11505,  -45545,   98523,  -50171,  -39351,   57428,   96645,   98937,   87656,   56033,   98937,   87656,   56033,  -39351,   85431,   96645,   98982,   29661,   98618
       107,          5300,  -81386,   91014,   -9631,  -47142,   98169,  -48548,  -38308,   55653,   96471,   98966,   87984,   53912,   98966,   87984,   53912,  -38308,   85793,   96471,   99010,   29888,   98551
       108,          5350,  -82467,   90217,   -7753,  -48723,   97778,  -46907,  -37276,   53888,   96295,   98994,   88302,   51750,   98994,   88302,   51750,  -37276,   86146,   96295,   99038,   30108,   98483
       109,          5400,  -83518,   89388,   -5873,  -50287,   97350,  -45249,  -36254,   52132,   96119,   99021,   88612,   49568,   99021,   88612,   49568,  -36254,   86491,   96119,   99066,   30322,   98415
       110,          5450,  -84540,   88527,   -3990,  -51833,   96887,  -43574,  -35243,   50387,   95942,   99048,   88914,   47364,   99048,   88914,   47364,  -35243,   86827,   95942,   99092,   30531,   98346
       111,          5500,  -85532,   87635,   -2106,  -53362,   96388,  -41883,  -34243,   48654,   95765,   99074,   89208,   45140,   99074,   89208,   45140,  -34243,   87155,   95765,   99119,   30734,   98276
